especievalida,nombrecomun,estadomapa,claveestadomapa,municipiomapa,clavemunicipiomapa,localidad,region,longitud,latitud
Toxostoma lecontei,cuicacoche pálido,BAJA CALIFORNIA,02,SAN QUINTIN,02006,"Guerrero Negro - Lázaro Cárdenas, Santo Domingo, Baja California, MX (28.293, -113.999)",MEXICO / BAJA CALIFORNIA / ENSENADA,-113.9987367,28.2932717
Toxostoma guttatum,cuicacoche de Isla Cozumel,QUINTANA ROO,23,COZUMEL,23001,Isla Cozumel,MEXICO / QUINTANA ROO / COZUMEL,-86.9324413,20.454812
Toxostoma curvirostre palmeri,cuitlacoche de Palmer,CHIHUAHUA,08,CASAS GRANDES,08013,PACHECO,MEXICO / CHIHUAHUA,-108.3,30.1
Toxostoma curvirostre occidentale,cuitlacoche de Palmer,DURANGO,10,TAMAZULA,10034,Tamazula,MEXICO / DURANGO,-106.9666667,24.9333333
Toxostoma curvirostre oberholseri,cuitlacoche pico curvo,COAHUILA DE ZARAGOZA,05,SALTILLO,05030,"SALTILLO, 19 MI SW",MEXICO / COAHUILA DE ZARAGOZA,-101.11,25.1216667
Toxostoma curvirostre maculatum,cuitlacoche de Palmer,CHIHUAHUA,08,CUAUHTEMOC,08017,MADERA,MEXICO / CHIHUAHUA,-107.04,28.5516667
Toxostoma curvirostre curvirostre,cuitlacoche pico curvo,CIUDAD DE MEXICO,09,ALVARO OBREGON,09010,Santa Rosa,MEXICO / DISTRITO FEDERAL,-99.2833333,19.325
Toxostoma curvirostre celsum,cuitlacoche de Palmer,AGUASCALIENTES,01,RINCON DE ROMOS,01007,San Jacinto,MEXICO / AGUASCALIENTES,-102.2333333,22.3333333
Toxostoma curvirostre,cuicacoche pico curvo,AGUASCALIENTES,01,TEPEZALA,01009,"2 Km W, Tepezala",MEXICO / AGUASCALIENTES / TEPEZALA,-102.1849974,22.2259997
Toxostoma crissale,cuicacoche crisal,AGUASCALIENTES,01,CALVILLO,01003,"El Pinal, Sierra Fría",MEXICO / AGUASCALIENTES / CALVILLO,-102.7331363,22.071103
Toxostoma cinereum mearnsi,cuitlacoche peninsular,BAJA CALIFORNIA,02,TIJUANA,02004,Santa Anita,MEXICO / BAJA CALIFORNIA,-116.795,32.3633333
Toxostoma cinereum cinereum,cuitlacoche peninsular,BAJA CALIFORNIA,02,SAN QUINTIN,02006,RANCHO MESQUITAE; 33MI W CALMALLI,MEXICO / BAJA CALIFORNIA,-113.8,28.25
Toxostoma cinereum,"cuicacoche bajacaliforniano, cuitlacoche peninsular",BAJA CALIFORNIA,02,ENSENADA,02001,30.98171_-116.11654,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.11654,30.98171
Toxostoma bendirei,cuicacoche pico corto,BAJA CALIFORNIA,02,ENSENADA,02001,Cañón Pedregal Playitas,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.659305,31.871753
Tolmomyias sulphurescens cinereiceps,mosquero ojo blanco,CAMPECHE,04,HOPELCHEN,04006,ICHEK,MEXICO / CAMPECHE,-89.9666667,19.7166667
Tolmomyias sulphurescens,"mosquerito ojos blancos, mosquero ojo blanco",CAMPECHE,04,CALAKMUL,04010,Nuevo Becal 0.5 Km al Sureste,MEXICO / CAMPECHE / CALAKMUL,-89.3008333,18.605
Todirostrum cinereum,"espatulilla amarillo, mosquerito espatulilla común",CAMPECHE,04,CARMEN,04003,"Carretera a Díaz Ordaz-Sabancuy, Ciudad del Carmen MX-CAMP 18.64137, -90.98158",MEXICO / CAMPECHE / CARMEN,-90.981577,18.641366
Tityra semifasciata personata,titira enmascarada,CHIAPAS,07,MARAVILLA TENEJAPA,07115,Cafetal8,MEXICO / CHIAPAS / MARAVILLA TENEJAPA,-91.3080556,16.1906389
Tityra semifasciata,"titira enmascarada, titira puerquito",CAMPECHE,04,CAMPECHE,04002,19.751x-90.52 - 09/07/2017 9:58 a. m.,MEXICO / CAMPECHE / CAMPECHE,-90.5195522,19.7506027
Tityra inquisitor,titira pico negro,CAMPECHE,04,CALAKMUL,04010,"Mancolona, Campeche, MX (18.814, -89.29)",MEXICO / CAMPECHE / CALAKMUL,-89.2901742,18.8142339
Tinamus major robustus,tinamú mayor,CHIAPAS,07,MARAVILLA TENEJAPA,07115,RodulfoF10,MEXICO / CHIAPAS / MARAVILLA TENEJAPA,-91.30125,16.2028611
Tinamus major,tinamú mayor,CAMPECHE,04,CALAKMUL,04010,Reserva de la Biosfera Calakmul--Zona Arqueológica Hormiguero,MEXICO / CAMPECHE / CALAKMUL,-89.4907236,18.4086194
Tilmatura dupontii,colibrí cola pinta,CHIAPAS,07,UNION JUAREZ,07105,Camino Talquian-Chiquihuites,MEXICO / CHIAPAS / UNION JUAREZ,-92.085257,15.086542
Tigrisoma mexicanum,garza tigre mexicana,CAMPECHE,04,CHAMPOTON,04004,Carretera 180/Ciudad del Carmen-Champoton,MEXICO / CAMPECHE / CHAMPOTON,-91.0811126,19.0654622
Tiaris olivaceus,semillero oliváceo,CAMPECHE,04,CARMEN,04003,Zoológico Municipal Carmen,MEXICO / CAMPECHE / CARMEN,-91.8381,18.659194
Thryothorus ludovicianus ludovicianus,chivirín sinaloense,GUERRERO,12,CHILPANCINGO DE LOS BRAVO,12029,Chilpancingo,MEXICO / GUERRERO,-99.5,17.55
Thryothorus ludovicianus,"chivirín de Carolina, saltapared de carolina",CAMPECHE,04,CALAKMUL,04010,Calakmul - Dos Naciones camp area,MEXICO / CAMPECHE / CALAKMUL,-89.3645047,17.9672613
Thryophilus sinaloa,"chivirín sinaloense, saltapared sinaloense",AGUASCALIENTES,01,CALVILLO,01003,"Auto selected 21.81478, -102.83532",MEXICO / AGUASCALIENTES / CALVILLO,-102.835316,21.814782
Thryophilus rufalbus,"chivirín rojizo, saltapared albicanelo",CHIAPAS,07,CACAHOATAN,07015,"Eureka, Volcán Tacaná",MEXICO / CHIAPAS / CACAHOATAN,-92.1266667,15.08
Thryophilus pleurostictus,"chivirín barrado, saltapared barrado",CHIAPAS,07,TUXTLA GUTIERREZ,07101,MX Chiapas el Sumidero dry forest 2,MEXICO / CHIAPAS / TUXTLA GUTIERREZ,-93.09415,16.80234
Thryomanes bewickii,"chivirín cola oscura, saltapared cola larga",AGUASCALIENTES,01,SAN JOSE DE GRACIA,01008,"Las Mesitas, 3 km E La Congoja",MEXICO / AGUASCALIENTES / SAN JOSE DE GRACIA,-102.53333,22.16667
Thraupis episcopus cana,tángara azulgris,CHIAPAS,07,MARAVILLA TENEJAPA,07115,Cañada13,MEXICO / CHIAPAS / MARAVILLA TENEJAPA,-91.3065556,16.2053333
Thraupis episcopus,tangara azulgris,CAMPECHE,04,CALAKMUL,04010,"Unión 20 de Junio (La Mancolona), 0.8 km al NorOeste del Poblado",MEXICO / CAMPECHE / CALAKMUL,-89.3011111,18.8144444
Thraupis abbas,tangara alas amarillas,CAMPECHE,04,CARMEN,04003,"Carretera a Díaz Ordaz-Sabancuy, Ciudad del Carmen MX-CAMP 18.64137, -90.98158",MEXICO / CAMPECHE / CARMEN,-90.981577,18.641366
Thamnophilus doliatus,batará barrado,CAMPECHE,04,ESCARCEGA,04009,"Escárcega, Camp., México",MEXICO / CAMPECHE / ESCARCEGA,-90.7925062,18.4923912
Thamnistes anabatinus anabatinus,batará café,TABASCO,27,TEAPA,27016,TEAPA,MEXICO / TABASCO,-92.9566667,17.545
Thamnistes anabatinus,"batará café, batará canelo",CHIAPAS,07,OCOSINGO,07059,Estacion Chajul,MEXICO / CHIAPAS / OCOSINGO,-90.9410997,16.1124493
Thalasseus sandvicensis,charrán de Sandwich,CAMPECHE,04,CHAMPOTON,04004,Carretera 180/Ciudad del Carmen-Champoton,MEXICO / CAMPECHE / CHAMPOTON,-91.0811126,19.0654622
Thalasseus maximus maximus,charrán real,BAJA CALIFORNIA,02,SAN QUINTIN,02006,San Quintín,MEXICO / BAJA CALIFORNIA,-115.9666667,30.4533333
Thalasseus maximus,charrán real,AGUASCALIENTES,01,AGUASCALIENTES,01001,Parque Ecologico El Cedazo,MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2587895,21.8671743
Thalasseus elegans,charrán elegante,BAJA CALIFORNIA,02,SAN QUINTIN,02006,El Socorrito,MEXICO / BAJA CALIFORNIA / ENSENADA,-115.8110515,30.2986831
Terenotriccus erythrurus fulvigularis,mosquero cola castaña,CHIAPAS,07,MARAVILLA TENEJAPA,07115,Cañada12,MEXICO / CHIAPAS / MARAVILLA TENEJAPA,-91.3059167,16.2036389
Terenotriccus erythrurus,"mosquerito cola castaña, mosquero cola castaña",CAMPECHE,04,CALAKMUL,04010,MX-CAMP-Dos Naciones Cerro - 17.9718x-89.3601,MEXICO / CAMPECHE / CALAKMUL,-89.360056,17.971759
Taraba major melanocrissus,batará mayor,CHIAPAS,07,PALENQUE,07065,PALENQUE,MEXICO / CHIAPAS,-91.98,17.51
Taraba major,batará mayor,CHIAPAS,07,MARQUES DE COMILLAS,07116,"Marqués de Comíllas, CHIS, Marqués de Comíllas MX-CHIS (16.2504,-90.8376)",MEXICO / CHIAPAS / MARQUES DE COMILLAS,-90.837595,16.250392
Tapera naevia excellens,cuclillo rayado,CHIAPAS,07,PIJIJIAPAN,07069,20 KM SE PIJIJIAPAN,MEXICO / CHIAPAS,-93.0616667,15.5866667
Tapera naevia,cuclillo rayado,CAMPECHE,04,CALAKMUL,04010,"Las Margaritas Calakmul, Campeche, MX (18.813, -89.25)",MEXICO / CAMPECHE / CALAKMUL,-89.2496267,18.81253
Tachycineta thalassina thalassina,golondrina verdemar,BAJA CALIFORNIA,02,ENSENADA,02001,"EL RAYO, SIERRA JUAREZ",MEXICO / BAJA CALIFORNIA,-115.965,31.975
Tachycineta thalassina brachyptera,golondrina verdemar,BAJA CALIFORNIA,02,SAN QUINTIN,02006,SAN BERNARDO MT.,MEXICO / BAJA CALIFORNIA,-113.75,28.75
Tachycineta thalassina,golondrina verdemar,AGUASCALIENTES,01,PABELLON DE ARTEAGA,01006,"Arroyo Santiago, Pab, Ags",MEXICO / AGUASCALIENTES / PABELLON DE ARTEAGA,-102.3480939,22.1232519
Tachycineta bicolor,golondrina bicolor,AGUASCALIENTES,01,AGUASCALIENTES,01001,Presa del Niagara,MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.372365,21.8045317
Tachycineta albilinea,golondrina manglera,CAMPECHE,04,CAMPECHE,04002,"7 Champotón - Mérida, Campeche, Campeche, MX (19.794, -90.603)",MEXICO / CAMPECHE / CAMPECHE,-90.6031047,19.793508
Tachybaptus dominicus,zambullidor menor,AGUASCALIENTES,01,AGUASCALIENTES,01001,"Presa Los Parga, Cobos.",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2503138,21.8100119
Synthliboramphus scrippsi,mérgulo de scripps,BAJA CALIFORNIA,02,ENSENADA,02001,MX-BC -Ensenada-Océano Pacífico - 31.8539x-116.6262,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.626189,31.853884
Synthliboramphus hypoleucus,mérgulo de Xantus,BAJA CALIFORNIA,02,SAN QUINTIN,02006,SE Bahía Los Angeles,MEXICO / BAJA CALIFORNIA,-113.55889,28.94528
Synthliboramphus craveri,mérgulo de Craveri,BAJA CALIFORNIA,02,SAN QUINTIN,02006,Bahía de los Ángeles,MEXICO / BAJA CALIFORNIA / ENSENADA,-113.5616398,28.9516774
Synthliboramphus antiquus,mérgulo antiguo,BAJA CALIFORNIA,02,ENSENADA,02001,Puerto Ensenada,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.6256237,31.8517525
Synallaxis erythrothorax pacifica,güitío del Pacífico,CHIAPAS,07,HUEHUETAN,07037,Huehuetán,MEXICO / CHIAPAS,-92.38,15.0183333
Synallaxis erythrothorax furtiva,güitío del Pacífico,CHIAPAS,07,TUXTLA CHICO,07102,Cacahoatán,MEXICO / CHIAPAS,-92.15,14.9833333
Synallaxis erythrothorax erythrothorax,güitío pecho rufo,CAMPECHE,04,CANDELARIA,04011,PACAITUN,MEXICO / CAMPECHE,-91.0833333,18.2166667
Synallaxis erythrothorax,"güitío pecho rufo, hormiguero pepito",CAMPECHE,04,CALAKMUL,04010,Reserva de la Biosfera Calakmul--Zona Arqueológica Hormiguero,MEXICO / CAMPECHE / CALAKMUL,-89.4907236,18.4086194
Sula sula websteri,bobo pata roja,SONORA,26,GUAYMAS,26029,GUAYMAS,MEXICO / SONORA,-110.8983333,27.9183333
Sula sula,bobo patas rojas,BAJA CALIFORNIA,02,ENSENADA,02001,Puerto Ensenada,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.6256237,31.8517525
Sula nebouxii,bobo patas azules,BAJA CALIFORNIA,02,SAN QUINTIN,02006,Estacion Del Mar Cortez,MEXICO / BAJA CALIFORNIA / ENSENADA,-113.5469,28.9793
Sula leucogaster leucogaster,bobo café,JALISCO,14,PUERTO VALLARTA,14067,PUERTO VALLARTA,MEXICO / JALISCO,-105.2316667,20.6116667
Sula leucogaster brewsteri,bobo café,BAJA CALIFORNIA SUR,03,LA PAZ,03003,La Paz,MEXICO / BAJA CALIFORNIA SUR,-110.25,24.15
Sula leucogaster,bobo café,BAJA CALIFORNIA,02,ENSENADA,02001,"(30.1247,-114.6326)",MEXICO / BAJA CALIFORNIA / ENSENADA,-114.632614,30.124693
Sula granti,bobo de Nazca,BAJA CALIFORNIA SUR,03,LA PAZ,03003,"La Paz, B.C.S., México",MEXICO / BAJA CALIFORNIA SUR / LA PAZ,-110.3458176,24.2982215
Sula dactylatra,bobo enmascarado,BAJA CALIFORNIA SUR,03,MULEGE,03002,Punta Eugenia,MEXICO / BAJA CALIFORNIA SUR / MULEGE,-115.043533,27.868909
Sturnus vulgaris vulgaris,estornino pinto,BAJA CALIFORNIA,02,ENSENADA,02001,SANTO TOMAS,MEXICO / BAJA CALIFORNIA,-116.4033333,31.5383333
Sturnus vulgaris,estornino pinto,AGUASCALIENTES,01,AGUASCALIENTES,01001,"Zona Poniente, Universidad Autónoma de Aguascalientes, 20130 Aguascalientes, Ags., México",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.3205675,21.9120849
Sturnella neglecta,"pradero del oeste, pradero occidental",AGUASCALIENTES,01,EL LLANO,01010,Meza de Palo Alto,MEXICO / AGUASCALIENTES / EL LLANO,-101.8703842,21.9194782
Sturnella magna,pradero tortillaconchile,AGUASCALIENTES,01,RINCON DE ROMOS,01007,San Jacinto,MEXICO / AGUASCALIENTES,-102.233884,22.348508
Strix virgata,búho café,CAMPECHE,04,CALAKMUL,04010,"Calakmul, Camp., México",MEXICO / CAMPECHE / CALAKMUL,-89.8047677,18.1198382
Strix sartorii,"búho barrado, búho listado",CHIAPAS,07,UNION JUAREZ,07105,VOLCAN TACANA,MEXICO / CHIAPAS / UNION JUAREZ,-92.1236111,15.1263889
Strix occidentalis lucida,búho manchado,NUEVO LEON,19,GALEANA,19017,Cerro El Potosí,MEXICO / NUEVO LEON,-100.2333333,24.8666667
Strix occidentalis,"búho manchado, búho moteado",CHIAPAS,07,OCOSINGO,07059,"Río Lacantún (área de Chajul, Selva Lacandona)",MEXICO / CHIAPAS / OCOSINGO,-90.9263889,16.1188889
Strix nigrolineata,"búho barrado albinegro, búho blanquinegro",CAMPECHE,04,CALAKMUL,04010,"24653, Calakmul MX-CAMP (18.4763,-89.8902)",MEXICO / CAMPECHE / CALAKMUL,-89.890217,18.476302
Strix fulvescens,búho leonado,CHIAPAS,07,TAPALAPA,07090,Cerro La Danta,MEXICO / CHIAPAS / TAPALAPA,-93.1152778,17.1788889
Streptoprocne zonaris mexicana,vencejo cuello blanco,CHIAPAS,07,ESCUINTLA,07032,LA GRADA - TAJUCO,MEXICO / CHIAPAS,-92.65,15.35
Streptoprocne zonaris,"vencejo collar blanco, vencejo cuello blanco",CAMPECHE,04,PALIZADA,04007,Jonuta-Palizada,MEXICO / CAMPECHE / PALIZADA,-92.0317467,18.1935828
Streptoprocne semicollaris,vencejo nuca blanca,CHIAPAS,07,PUEBLO NUEVO SOLISTAHUACAN,07072,La Yerbabuena,MEXICO / CHIAPAS / PUEBLO NUEVO SOLISTAHUACAN,-92.9013889,17.1805556
Streptoprocne rutila,vencejo cuello castaño,CHIAPAS,07,SAN CRISTOBAL DE LAS CASAS,07078,Cerrito de San Cristobal,MEXICO / CHIAPAS / SAN CRISTOBAL DE LAS CASAS,-92.6436067,16.733552
Streptopelia roseogrisea,paloma de collar africana,BAJA CALIFORNIA,02,PLAYAS DE ROSARITO,02005,Arroyo Rosarito--Desembocadura,MEXICO / BAJA CALIFORNIA / PLAYAS DE ROSARITO,-117.0537472,32.3312382
Streptopelia decaocto,"paloma de collar turca, tórtola de collar",AGUASCALIENTES,01,JESUS MARIA,01005,"Gral Ignacio Zaragoza, Ags., México",MEXICO / AGUASCALIENTES / JESUS MARIA,-102.465337,21.8830212
Streptopelia chinensis,"paloma ala dorada, paloma de oriente",BAJA CALIFORNIA,02,PLAYAS DE ROSARITO,02005,Arroyo Rosarito--Desembocadura,MEXICO / BAJA CALIFORNIA / PLAYAS DE ROSARITO,-117.0537472,32.3312382
Stilpnia larvata,tangara capucha dorada,CHIAPAS,07,PALENQUE,07065,PALENQUE,MEXICO / CHIAPAS / PALENQUE,-91.9805556,17.5091667
Sternula antillarum antillarum,charrán mínimo,JALISCO,14,TOMATLAN,14100,PENAS LAS,MEXICO / JALISCO,-105.5366667,20.1033333
Sternula antillarum,charrán mínimo,BAJA CALIFORNIA,02,ENSENADA,02001,MX-BCN-Ensenada (Estero Punta Banda),MEXICO / BAJA CALIFORNIA / ENSENADA,-116.6117318,31.7685622
Sternula albifrons,charrán mínimo,JALISCO,14,LA HUERTA,14043,"CHAMELA (CAMPAMENTO), 1 KM NW",MEXICO / JALISCO,-105.0833333,19.5333333
Sterna paradisaea,charrán ártico,BAJA CALIFORNIA,02,ENSENADA,02001,Estero Punta Banda--Embalse,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.6521454,31.7176905
Sterna hirundo,charrán común,BAJA CALIFORNIA,02,SAN QUINTIN,02006,El Socorrito,MEXICO / BAJA CALIFORNIA / ENSENADA,-115.8110515,30.2986831
Sterna forsteri,charrán de Forster,AGUASCALIENTES,01,SAN JOSE DE GRACIA,01008,San Jose de Gracia,MEXICO / AGUASCALIENTES / SAN JOSE DE GRACIA,-102.4202183,22.1666841
Sterna dougallii,charrán rosado,QUINTANA ROO,23,COZUMEL,23001,Laguna Columbia,MEXICO / QUINTANA ROO / COZUMEL,-86.9833088,20.2825994
Stercorarius pomarinus,"salteador pomarino, salteador robusto",BAJA CALIFORNIA,02,ENSENADA,02001,MX-BCN-Ensenada (Estero Punta Banda),MEXICO / BAJA CALIFORNIA / ENSENADA,-116.6117318,31.7685622
Stercorarius parasiticus,salteador parásito,BAJA CALIFORNIA,02,ENSENADA,02001,Rio Santo Tomas estuary,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.6585304,31.53492
Stercorarius maccormicki,págalo sureño,BAJA CALIFORNIA,02,SAN QUINTIN,02006,Bahia Los Angeles,MEXICO / BAJA CALIFORNIA / ENSENADA,-113.5583083,28.9463333
Stercorarius longicaudus,salteador cola larga,BAJA CALIFORNIA,02,SAN QUINTIN,02006,Bahia Los Angeles,MEXICO / BAJA CALIFORNIA / ENSENADA,-113.5583083,28.9463333
Stelgidopteryx serripennis stuarti,golondrina ala aserrada,CHIAPAS,07,OCOSINGO,07059,EL REAL,MEXICO / CHIAPAS,-91.7516667,16.9
Stelgidopteryx serripennis serripennis,golondrina ala aserrada,BAJA CALIFORNIA,02,MEXICALI,02002,San Felipe,MEXICO / BAJA CALIFORNIA,-114.8333333,31.0233333
Stelgidopteryx serripennis ridgwayi,golondrina ala aserrada,CAMPECHE,04,HOPELCHEN,04006,ICHEK,MEXICO / CAMPECHE,-89.9666667,19.7166667
Stelgidopteryx serripennis psammochrous,golondrina ala aserrada,DURANGO,10,LERDO,10012,"RIO NAZAS, 15 MI SE LERDO",MEXICO / DURANGO,-103.75,25.3
Stelgidopteryx serripennis fulvipennis,golondrina ala aserrada,CHIAPAS,07,OCOSINGO,07059,EL REAL,MEXICO / CHIAPAS,-91.7516667,16.9
Stelgidopteryx serripennis,golondrina alas aserradas,AGUASCALIENTES,01,SAN JOSE DE GRACIA,01008,Mesa de Montoro,MEXICO / AGUASCALIENTES / SAN JOSE DE GRACIA,-102.559551,22.0314081
Stelgidopteryx ruficollis ruficollis,golondrina ala aserrada,CHIAPAS,07,OCOZOCOAUTLA DE ESPINOSA,07061,"MEYAPAC, OCOZOCOAUTLA",MEXICO / CHIAPAS,-93.3783333,16.8283333
Stelgidopteryx ruficollis,golondrina ala aserrada,CAMPECHE,04,CARMEN,04003,16.75 KM. O. ZACATAL,MEXICO / CAMPECHE,-92,18.6116667
Sporophila torqueola sharpei,semillero de collar,TAMAULIPAS,28,ALTAMIRA,28003,"PUERTO INDUSTRIAL, 15 KM NE ALTAMIRA",MEXICO / TAMAULIPAS,-97.8452778,22.4466667
Sporophila torqueola atriceps,semillero de collar,NAYARIT,18,SAN BLAS,18012,San Blas,MEXICO / NAYARIT,-105.2866667,21.5333333
Sporophila torqueola,"semillero de collar, semillero rabadilla canela",AGUASCALIENTES,01,AGUASCALIENTES,01001,"Zona Poniente, Universidad Autónoma de Aguascalientes, 20130 Aguascalientes, Ags., México",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.3205675,21.9120849
Sporophila schistacea subconcolor,semillero apizarrado,OAXACA,20,MATIAS ROMERO AVENDAÑO,20057,PALOMARES,MEXICO / OAXACA,-95.0666667,17.15
Sporophila schistacea,semillero plomizo,CHIAPAS,07,OCOSINGO,07059,Reserva de la Biosfera Montes Azules--Rio Tzendales,MEXICO / CHIAPAS / OCOSINGO,-90.917055,16.279844
Sporophila morelleti,semillero de collar,BAJA CALIFORNIA SUR,03,LOS CABOS,03008,Santiago (pueblo),MEXICO / BAJA CALIFORNIA SUR / LOS CABOS,-109.7156396,23.4810208
Sporophila minuta,semillero pecho canela,CHIAPAS,07,TUXTLA CHICO,07102,Rancho Roble y Primavera,MEXICO / CHIAPAS / TUXTLA CHICO,-92.2333156,14.8890147
Sporophila funerea,semillero pico grueso,CAMPECHE,04,PALIZADA,04007,"Palizada, Camp., México",MEXICO / CAMPECHE / PALIZADA,-91.9834596,18.0729115
Sporophila corvina corvina,semillero variable,CHIAPAS,07,LA TRINITARIA,07099,"SANTA ROSA, LA CIENEGA",MEXICO / CHIAPAS,-92.135,16.06
Sporophila corvina,semillero variable,CHIAPAS,07,OCOSINGO,07059,"Unnamed Road, Chiapas, MX (16.976, -91.581)",MEXICO / CHIAPAS / OCOSINGO,-91.5808186,16.9763983
Spizella wortheni,gorrión de Worthen,AGUASCALIENTES,01,EL LLANO,01010,Meseta Palo Alto,MEXICO / AGUASCALIENTES / EL LLANO,-101.8833333,21.9166667
Spizella pusilla,"gorrión llanero, gorrión pusila",COAHUILA DE ZARAGOZA,05,MUZQUIZ,05020,"4 I W, HACIENDA LA MARIPOSA",MEXICO / COAHUILA DE ZARAGOZA,-101.8,28.15
Spizella passerina,gorrión cejas blancas,AGUASCALIENTES,01,AGUASCALIENTES,01001,"Presa Los Parga, Cobos.",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2503138,21.8100119
Spizella pallida,gorrión pálido,AGUASCALIENTES,01,RINCON DE ROMOS,01007,San Jacinto,MEXICO / AGUASCALIENTES,-102.233884,22.348508
Spizella breweri,gorrión de Brewer,AGUASCALIENTES,01,RINCON DE ROMOS,01007,San Jacinto,MEXICO / AGUASCALIENTES,-102.233884,22.348508
Spizella atrogularis,gorrión barba negra,AGUASCALIENTES,01,RINCON DE ROMOS,01007,San Jacinto,MEXICO / AGUASCALIENTES,-102.233884,22.348508
Spizaetus tyrannus serus,águila tirana,CAMPECHE,04,CANDELARIA,04011,PACAITUN,MEXICO / CAMPECHE,-91.0833333,18.2166667
Spizaetus tyrannus,águila tirana,CAMPECHE,04,CANDELARIA,04011,"Campeche, MX (17.989, -90.299)",MEXICO / CAMPECHE / CANDELARIA,-90.2985587,17.98888
Spizaetus ornatus vicarius,águila elegante,CAMPECHE,04,CANDELARIA,04011,PACAITUN,MEXICO / CAMPECHE,-91.0833333,18.2166667
Spizaetus ornatus,águila elegante,CAMPECHE,04,CALAKMUL,04010,"Mancolona, Campeche, MX (18.814, -89.29)",MEXICO / CAMPECHE / CALAKMUL,-89.2901742,18.8142339
Spizaetus melanoleucus,"águila albinegra, águila blanquinegra",CAMPECHE,04,CALAKMUL,04010,Camino a Dos Lagunas,MEXICO / CAMPECHE / CALAKMUL,-89.3381688,17.883459
Spiza americana,arrocero americano,AGUASCALIENTES,01,AGUASCALIENTES,01001,el Mexquite,MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.195972,21.980056
Spinus tristis,"jilguerito canario, jilguero canario",BAJA CALIFORNIA,02,ENSENADA,02001,Llano Maneadero--Recreativo,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.5894461,31.7258675
Spinus psaltria psaltria,jilguero dominico,CHIHUAHUA,08,NUEVO CASAS GRANDES,08050,Nuevo Casas Grandes,MEXICO / CHIHUAHUA,-107.9166667,30.4166667
Spinus psaltria,"jilguerito dominico, jilguero dominico",AGUASCALIENTES,01,AGUASCALIENTES,01001,"Presa Los Parga, Cobos.",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2503138,21.8100119
Spinus pinus pinus,jilguero pinero,CHIHUAHUA,08,CUAUHTEMOC,08017,MADERA,MEXICO / CHIHUAHUA,-107.04,28.5516667
Spinus pinus,"jilguerito pinero, jilguero pinero",AGUASCALIENTES,01,SAN JOSE DE GRACIA,01008,"Presa 50 Aniversario, San José de Gracia, Ags., México",MEXICO / AGUASCALIENTES / SAN JOSE DE GRACIA,-102.4653337,22.1896467
Spinus notatus,"jilguerito encapuchado, jilguero encapuchado",CHIAPAS,07,SAN CRISTOBAL DE LAS CASAS,07078,"19 Hermanos Domínguez, San Cristóbal de las Casas, Chiapas, MX (16.734, -92.64)",MEXICO / CHIAPAS / SAN CRISTOBAL DE LAS CASAS,-92.6398931,16.7344175
Spinus lawrencei,"jilguerito cara negra, jilguero gris",BAJA CALIFORNIA,02,ENSENADA,02001,"Juan Diego Residencial, Ensenada, B.C., México",MEXICO / BAJA CALIFORNIA / ENSENADA,-116.6048788,31.8150669
Spinus atriceps,"jilguerito corona negra, jilguero corona negra",CHIAPAS,07,MOTOZINTLA,07057,"MOTOZINTLA, PINABETO",MEXICO / CHIAPAS,-92.225,15.2366667
Spindalis zena,tangara cabeza rayada,QUINTANA ROO,23,COZUMEL,23001,Isla Cozumel,MEXICO / QUINTANA ROO / COZUMEL,-86.9324413,20.454812
Sphyrapicus varius,"carpintero moteado, chupasavia maculado",AGUASCALIENTES,01,AGUASCALIENTES,01001,"Rodolfo Landeros Gallegos, 20290 Aguascalientes, Ags., México",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2875021,21.8514673
Sphyrapicus thyroideus thyroideus,chupasavia oscuro,BAJA CALIFORNIA,02,ENSENADA,02001,"Sierra Juárez, Laguna Hanson",MEXICO / BAJA CALIFORNIA,-115.91,32.0466667
Sphyrapicus thyroideus nataliae,chupasavia oscuro,CHIHUAHUA,08,RIVA PALACIO,08054,"COLONIA GARCIA, 15 MI W",MEXICO / CHIHUAHUA,-106.3466667,28.58
Sphyrapicus thyroideus,"carpintero elegante, chupasavia oscuro",BAJA CALIFORNIA,02,ENSENADA,02001,PN Constitucion de 1857--Laguna Juarez/Laguna Hanson,MEXICO / BAJA CALIFORNIA / ENSENADA,-115.9085083,32.0453328
